id,speaker,views,tags,,,,,,,,,
761,David Agus,680120,"cancer,health,health care,medicine,technology",,,,,,,,,
762,"Tom Shannon, John Hockenberry",430722,"space,illness,astronomy,science,creativity,art",,,,,,,,,
763,Peter Eigen,731270,"money,corruption,TEDx,politics,global issues",,,,,,,,,
765,Jamie Oliver,7492892,"obesity,education,health,food,global issues,business",,,,,,,,,
766,Blaise Agüera y Arcas,1699998,"map,virtual reality,cities,design,technology",,,,,,,,,
767,Bill Gates,4211415,"TED Brain Trust,invention,energy,science,global issues,technology,business",,,,,,,,,
768,David Cameron,650196,"politics,global issues,business",,,,,,,,,
769,Aimee Mullins,2021647,"prosthetics,happiness,health,activism,social change,society",,,,,,,,,
770,Kevin Kelly,531042,"computers,TEDx,history,life,technology",,,,,,,,,
771,Philip K. Howard,602593,"law,health care,design,business",,,,,,,,,
772,Eric Topol,703817,"disease,health,health care,medicine,technology",,,,,,,,,
773,Temple Grandin,4280005,"Autism spectrum disorder,invention,mental health,education,brain,science,animals,design,technology",,,,,,,,,
775,Bobby McFerrin,3291875,"mind,brain,music,performance",,,,,,,,,
776,Pawan Sinha,832468,"neuroscience,health care,medicine,biology,sight,science",,,,,,,,,
777,Raghava KK,658301,"culture,design,entertainment,art",,,,,,,,,
779,Daniel Kahneman,3686917,"happiness,philosophy,mind,economics,psychology,brain,culture,science",,,,,,,,,
780,Harsha Bhogle,555676,"sports,india,culture,entertainment,business",,,,,,,,,
783,Gary Flake,647948,"interface design,web,demo,technology,data",,,,,,,,,
784,Richard Feynman,509387,"astronomy,physics,science",,,,,,,,,
785,James Cameron,1864755,"submarine,oceans,film,nature,entertainment,storytelling,adventure,technology,writing",,,,,,,,,
786,The LXD,2770100,"dance,gaming,entertainment,performance,collaboration",,,,,,,,,
787,Srikumar Rao,930665,"happiness,mind,psychology,self,life,business",,,,,,,,,
788,Tim Berners-Lee,675313,"statistics,computers,web,visualizations,Internet",,,,,,,,,
789,Gary Lauder's new traffic sign,570974,"transportation,culture,cities,design",,,,,,,,,
790,Dan Barber,1950276,"health,biology,food,environment,agriculture",,,,,,,,,
791,Ken Kamler,701124,"weather,medicine,biology,exploration,humanity,science,adventure",,,,,,,,,
792,Eric Mead,1009157,"magic,illusion,medicine,science,entertainment",,,,,,,,,
795,Gary Vaynerchuk,746104,"money,web,entrepreneur,business,Internet",,,,,,,,,
796,Mark Roth,706074,"health care,biology,fish,war,science",,,,,,,,,
797,Eric Dishman,381457,"health,health care,science,technology,business",,,,,,,,,
798,Douglas Adams,471070,"biology,comedy,religion,biodiversity,life,storytelling,humor,writing",,,,,,,,,
799,Jane McGonigal,4511886,"gaming,play,computers,design,entertainment,global issues",,,,,,,,,
800,Shekhar Kapur,725511,"film,entertainment,creativity",,,,,,,,,
801,Sam Harris,3357927,"philosophy,morality,psychology,culture,religion,science,global issues",,,,,,,,,
802,Juliana Machado Ferreira,316015,"Latin America,birds,Brazil,biology,activism,science,biodiversity,global issues",,,,,,,,,
803,Alan Siegel,857211,"simplicity,law,language,business",,,,,,,,,
804,Joel Levine,615765,"Planets,Mars,space,TEDx,exploration,science,life,technology",,,,,,,,,
805,Robert Gupta,1147323,"violin,live music,mental health,education,brain,music,entertainment,performance,TED Fellows",,,,,,,,,
806,Patsy Rodenburg,174998,"theater,psychology,humanity",,,,,,,,,
807,Kevin Bales,833382,"Slavery,trafficking,economics,humanity,global issues,business",,,,,,,,,
809,Shukla Bose,925657,"poverty,education,global development,children,teaching",,,,,,,,,
811,Kirk Citron,677146,"media,news,science,future,global issues",,,,,,,,,
814,Derek Sivers,6202123,"dance,online video,marketing,leadership,entertainment,business",,,,,,,,,
815,Adora Svitak,4696809,"education,intelligence,children,creativity",,,,,,,,,
816,Jesse Schell,447451,"gaming,consumerism,design,entertainment,technology,business",,,,,,,,,
818,Elizabeth Pisani,1202852,"AIDS,sex,health,health care,global issues",,,,,,,,,
819,Dean Kamen,519147,"prosthetics,health,health care,medicine,war,design,technology",,,,,,,,,
820,Dennis Hong,1895193,"robots,AI,TEDx,science,engineering,technology",,,,,,,,,
821,Jonathan Drori,400200,"bees,sex,biology,botany,environment,life",,,,,,,,,
823,Natalie Merchant,848622,"poetry,literature,music,performance",,,,,,,,,
824,Michael Specter,1804972,"medicine,religion,science,global issues,writing",,,,,,,,,
826,Jonathan Klein,1202082,"photography,poverty,media,war,global issues",,,,,,,,,
828,Catherine Mohr,758833,"culture,green,technology,business",,,,,,,,,
830,Mike deGruy,918317,"submarine,pollution,oceans,film,science and art,evolution,biology,fish,activism,discovery,exploration,science,climate change,environment,animals,nature,biodiversity,ecology,entertainment,adventure,global issues",,,,,,,,,
831,Thelma Golden,516384,"race,culture,cities,design,entertainment,art",,,,,,,,,
832,Eric Whitacre,398553,"online video,web,music,performance,Internet",,,,,,,,,
833,Edith Widder,575222,"mission blue,oceans,fish,exploration,science,animals,design,technology",,,,,,,,,
835,James Randi,2463260,"magic,health,culture,science",,,,,,,,,
836,Frederick Balagadde,293259,"invention,biology,engineering,microbiology,TED Fellows",,,,,,,,,
837,Tom Wujec,3681897,"psychology,culture,design,entertainment,business,collaboration",,,,,,,,,
838,Omar Ahmad,533554,"culture,politics,social change,democracy,business",,,,,,,,,
840,Tim Birkhead,111775,"birds,evolution,biology,life",,,,,,,,,
842,Kavita Ramdas,468452,"feminism,culture,social change,women",,,,,,,,,
843,Stephen Wolfram,1528364,"String theory,simplicity,complexity,math,computers,physics,biology,science",,,,,,,,,
844,Roz Savage,632409,"goal-setting,oceans,entertainment,adventure,global issues",,,,,,,,,
845,George Whitesides,614262,"chemistry,simplicity,complexity,history,design,technology",,,,,,,,,
846,Sebastian Wernicke,2183491,"statistics,comedy,entertainment,humor",,,,,,,,,
847,Esther Duflo,857064,"poverty,economics,cities,big problems",,,,,,,,,
848,Simon Sinek,32664300,"success,TEDx,leadership,entrepreneur,business",,,,,,,,,
849,Thomas Dolby,570737,"live music,music,history,entertainment",,,,,,,,,
850,Jeremy Jackson,587401,"mission blue,oceans,fish,science,green",,,,,,,,,
851,Anil Gupta,640960,"invention,poverty,innovation,entrepreneur,creativity",,,,,,,,,
852,Nicholas Christakis,1298781,"obesity,health,medicine,evolution,science,society",,,,,,,,,
853,Nathan Myhrvold,844980,"TED Brain Trust,insects,invention,disease,poverty,innovation,creativity,technology",,,,,,,,,
854,Enric Sala,314179,"mission blue,oceans,economics,fish,science",,,,,,,,,
855,Dan Meyer,2428974,"student,math,education,TEDx,children,teaching",,,,,,,,,
856,Julia Sweeney,3323391,"relationships,sex,comedy,children,humor",,,,,,,,,
857,Viktor Frankl,1011089,"mind,psychology,war,humanity,peace",,,,,,,,,
859,William Li,4078454,"cancer,medicine,food,science,technology",,,,,,,,,
860,Graham Hill,2059515,"culture,food,green,global issues",,,,,,,,,
861,Dee Boersma,353603,"mission blue,oceans,science,animals,global issues",,,,,,,,,
862,Richard Sears,599545,"alternative energy,energy,exploration,science,green,technology",,,,,,,,,
863,Craig Venter,1077990,"genetics,DNA,biology,science,life,technology,business",,,,,,,,,
865,Ken Robinson,7061657,"TED Brain Trust,invention,education,children,creativity",,,,,,,,,
866,Johanna Blakley,1020746,"fashion,law,TEDx,culture,media,design,creativity,business",,,,,,,,,
868,Sharmeen Obaid-Chinoy,1052195,"suicide,film,culture,war,politics,children,TED Fellows",,,,,,,,,
869,Seth Berkley,533237,"Vaccines,AIDS,disease,HIV,health,medicine,global issues",,,,,,,,,
870,Sophie Hunger,510343,"poetry,music,cities,performance,storytelling",,,,,,,,,
871,Lawrence Lessig,387867,"online video,law,web,TEDx,music,technology,Internet",,,,,,,,,
872,John Underkoffler,1504686,"invention,computers,interface design,film,visualizations,design,technology",,,,,,,,,
873,Brian Skerry,1410734,"mission blue,oceans,photography,fish,science",,,,,,,,,
874,"Christopher ""moot"" Poole""",1440361,"meme,law,computers,web,culture,activism,collaboration,Internet,government",,,,,,,,,
876,Brian Cox,1595139,"space,economics,physics,innovation,curiosity,science,global issues",,,,,,,,,
877,Adam Sadowsky,1050386,"physics,TEDx,music,engineering,entertainment",,,,,,,,,
878,Michael Sandel,1135343,"sports,philosophy,law,politics,democracy,government",,,,,,,,,
879,John Kasaona,321374,"Africa,science,animals,green,biodiversity,global issues",,,,,,,,,
880,Rory Sutherland,1039170,"simplicity,economics,motivation,politics,engineering,design,creativity",,,,,,,,,
881,Stewart Brand + Mark Z. Jacobson,1277134,"nuclear weapons,wind energy,TED Brain Trust,law,economics,energy,climate change,environment,green",,,,,,,,,
883,David Byrne,1211866,"music,architecture,history,future",,,,,,,,,
884,Michael Shermer,2389262,"faith,God,neuroscience,psychology,self,science",,,,,,,,,
885,Margaret Gould Stewart,766446,"online video,law,culture,entertainment,creativity,technology,business,art",,,,,,,,,
886,Peter Tyack,411715,"mission blue,oceans,singer,science,animals",,,,,,,,,
887,Cameron Herold,1551026,"money,education,TEDx,entrepreneur,children,teaching,business",,,,,,,,,
888,Ananda Shankar Jayant,581190,"dance,cancer,music,personal growth,performance,storytelling",,,,,,,,,
889,Chip Conley,2739646,"happiness,money,Buddhism,economics,psychology,business",,,,,,,,,
891,Marian Bantjes,624468,"typography,innovation,design,art",,,,,,,,,
892,Charles Leadbeater,760118,"education,innovation,cities,global issues",,,,,,,,,
893,Aditi Shankardass,950594,"neuroscience,medicine,science,children,technology",,,,,,,,,
894,Hillel Cooperman,1005556,"toy,gaming,entrepreneur,children,design,entertainment",,,,,,,,,
896,Clay Shirky,949084,"wikipedia,culture,technology,collaboration,community",,,,,,,,,
898,Ellen Dunham-Jones,654287,"TEDx,infrastructure,cities,urban planning,design",,,,,,,,,
899,Stephen Palumbi,357485,"mission blue,oceans,health,fish,science",,,,,,,,,
900,Carter Emmart,1642327,"space,astronomy,science,technology,art",,,,,,,,,
901,Mitchell Joachim,1299575,"architecture,urban planning,environment,design,TED Fellows",,,,,,,,,
909,Benoit Mandelbrot,1195831,math,,,,,,,,,
910,Ellen Gustafson,656923,"obesity,health,TEDx,food,social change,global issues",,,,,,,,,
911,Nalini Nadkarni,418546,"crime,prison,social change,environment,nature,green,trees,ecology,plants",,,,,,,,,
912,Hans Rosling,2864937,"presentation,prediction,poverty,demo,culture,global issues,data",,,,,,,,,
914,Carl Safina,574689,"oil,pollution,oceans,energy,TEDx,disaster relief,environment",,,,,,,,,
915,Matt Ridley,2132692,"design,technology,business,collaboration",,,,,,,,,
916,Ethan Zuckerman,681686,"web,language,news,global issues,technology,communication",,,,,,,,,
917,Elif Shafak,1724112,"novel,culture,politics,women,storytelling",,,,,,,,,
918,Julian Assange,2266296,"iraq,military,politics,news,global issues,technology,communication",,,,,,,,,
919,Naif Al-Mutawa,811805,"Islam,culture,art,peace",,,,,,,,,
920,Dimitar Sasselov,1117311,"extraterrestrial life,Planets,universe,astronomy,biology,life,technology",,,,,,,,,
921,Tan Le,2450186,"mind,computers,interface design,brain,design,entertainment,technology",,,,,,,,,
922,Kevin Stone,481430,"medicine,biology,future,design,technology",,,,,,,,,
923,Jeff Bezos,648379,"TED Brain Trust,self,intelligence,creativity,business",,,,,,,,,
924,Sheena Iyengar,3036905,"economics,psychology,decision-making,culture,social change,choice,business,society",,,,,,,,,
925,Susan Shaw,218993,"oil,chemistry,oceans,fish,TEDx,disaster relief,science,environment,business",,,,,,,,,
926,John Delaney,330515,"poetry,mission blue,oceans,science,technology",,,,,,,,,
927,Laurie Santos,1221337,"monkeys,money,economics,psychology,brain,science,design,business",,,,,,,,,
928,Lewis Pugh,1017420,"sports,activism,science,climate change,adventure,global issues",,,,,,,,,
929,Jason Clay,427783,"environment,sustainability,green,business",,,,,,,,,
930,Sheryl WuDunn,1041388,"yesallwomen,Slavery,trafficking,feminism,poverty,economics,education,global development,women",,,,,,,,,
931,Diane J. Savino,291095,"love,LGBT,God,law,sex,culture,religion,government",,,,,,,,,
932,Peter Molyneux,731823,"gaming,computers,psychology,AI,children,design,technology",,,,,,,,,
934,Jamil Abu-Wardeh,789288,"comedy,politics,entertainment,humor",,,,,,,,,
935,Maz Jobrani,4501380,"Iran,comedy,politics,entertainment,humor,Middle East",,,,,,,,,
936,Seth Priebatsch,811867,"gaming,money,psychology,TEDx,entrepreneur,entertainment,business",,,,,,,,,
937,David McCandless,2539640,"complexity,computers,visualizations,design,data",,,,,,,,,
938,Lee Hotz,588847,"news,science,climate change",,,,,,,,,
939,Jim Toomey,476168,"oceans,comedy,science,animals,entertainment,humor,art",,,,,,,,,
940,Lisa Margonelli,434654,"oil,energy,TEDx,disaster relief,environment,sustainability,green",,,,,,,,,
941,Dan Cobley,1351289,"marketing,math,physics,business",,,,,,,,,
943,Jeremy Rifkin,540148,"mind,economics,psychology,evolution,brain,science",,,,,,,,,
944,Nic Marks,1541590,"happiness,TED Books,statistics,economics,culture,global issues,big problems,data",,,,,,,,,
945,Johan Rockstrom,896627,"cities,climate change,environment,agriculture,global issues",,,,,,,,,
946,His Holiness the Karmapa,788313,"happiness,brain,culture,religion,society",,,,,,,,,
947,Derek Sivers,4457953,"success,goal-setting,self,motivation,personal growth,storytelling",,,,,,,,,
948,Rachel Sussman,1408148,"photography,biology,environment,nature,biodiversity,trees,life",,,,,,,,,
949,Sugata Mitra,2488846,"web,education,global development,children,global issues,technology",,,,,,,,,
950,Alwar Balasubramaniam,424005,"visualizations,design,entertainment,art",,,,,,,,,
951,Carne Ross,338145,"iraq,state-building,innovation,politics,global issues",,,,,,,,,
952,Ben Cameron,492407,"performance art,theater,education,TEDx,music,entertainment,performance",,,,,,,,,
953,Seth Godin,949636,"TED Brain Trust,advertising,marketing,design,business",,,,,,,,,
954,Rob Dunbar,542860,"mission blue,oceans,science,technology",,,,,,,,,
955,Chris Anderson,1271554,"online video,web,education,innovation,science,global issues,technology,business",,,,,,,,,
957,Jessa Gamble,2128739,"self,evolution,personal growth,humanity,science",,,,,,,,,
958,Nicholas Christakis,564314,"meme,health,medicine,humanity,science,society",,,,,,,,,
959,Caroline Phillips,630420,"culture,music,singer,history,performance,technology",,,,,,,,,
960,Christien Meindertsma,1147204,"consumerism,books,medicine,product design,food,engineering,design,business",,,,,,,,,
961,Steven Johnson,3874262,"novel,innovation,science,technology,collaboration",,,,,,,,,
962,Mitchell Besser,231703,"AIDS,Africa,health,health care,women,community",,,,,,,,,
963,Annie Lennox,479482,"AIDS,Africa,health,activism,personal growth",,,,,,,,,
964,Fabian Hemmert,871021,"telecom,interface design,TEDx,culture,design,communication",,,,,,,,,
965,Julian Treasure,1101112,"sound,Senses,psychology,music,science,nature,design",,,,,,,,,
966,Gary Wolf,841937,"statistics,health,medicine,psychology,decision-making,design,technology",,,,,,,,,
967,Sebastian Seung,928484,"mind,brain,science,technology",,,,,,,,,
968,Inge Missmahl,336264,"depression,mental health,poverty,psychology,brain,war,violence,politics,global issues,peace",,,,,,,,,
970,Mechai Viravaidya,1049996,"population,health,TEDx,culture,science,global issues",,,,,,,,,
971,Eben Bayer,1088546,"plastic,product design,environment,nature,green,technology",,,,,,,,,
972,Tim Jackson,888368,"poverty,economics,global development,sustainability,green",,,,,,,,,
973,Barbara Block,333080,"mission blue,oceans,science,technology",,,,,,,,,
974,Hans Rosling,731062,"statistics,Africa,health,TEDx,inequality,global development,data",,,,,,,,,
975,Stacey Kramer,3367715,"cancer,medicine,personal growth,storytelling",,,,,,,,,
976,Stefano Mancuso,1055526,"biology,science,botany,plants,collaboration",,,,,,,,,
977,Melinda Gates,1168362,"philanthropy,TEDx,global development,global issues,business,sanitation",,,,,,,,,
978,Peter Haas,312152,"natural disaster,architecture,disaster relief,global issues,technology,business,TED Fellows",,,,,,,,,
980,Natalie Jeremijenko,411416,"performance art,engineering,environment,design,technology,collaboration,art",,,,,,,,,
981,Ze Frank,1860821,"gaming,play,web,music,comedy,humanity,humor,technology,Internet",,,,,,,,,
982,Joel Burns,276141,"LGBT,TEDYouth,violence,politics,social change,humanity,society",,,,,,,,,
983,Jessica Jackley,1345952,"poverty,social change,entrepreneur,women in business,global issues,business",,,,,,,,,
984,Heribert Watzke,1325831,"biology,food,science,technology",,,,,,,,,
986,Dianna Cohen,677510,"plastic,consumerism,mission blue,oceans,green,global issues",,,,,,,,,
987,Patrick Chappatte,750387,"media,war,politics,news,art",,,,,,,,,
988,"David Byrne, Ethel + Thomas Dolby",609898,"music,future,garden,performance,society",,,,,,,,,
991,R.A. Mashelkar,618526,"industrial design,economics,design,technology,business",,,,,,,,,
992,Joseph Nye,935464,"china,economics,culture,war,politics,global issues,government,peace",,,,,,,,,
993,Barton Seaver,551019,"oceans,fish,food,environment,sustainability",,,,,,,,,
994,Shimon Steinberg,364974,"insects,TEDx,nature,green,agriculture,technology",,,,,,,,,
995,Miwa Matreyek,819920,"animation,design,performance,technology,art",,,,,,,,,
996,Tom Chatfield,1005876,"gaming,education,culture,entertainment,technology",,,,,,,,,
997,David Bismark,540091,"culture,politics,democracy,design,global issues,technology,government",,,,,,,,,
998,Greg Stone,452252,"submarine,mission blue,oceans,politics,science,global issues",,,,,,,,,
1000,Gero Miesenboeck,604284,"neuroscience,biology,brain,science",,,,,,,,,
1001,Andrew Bird,1213301,"live music,music,entertainment,performance",,,,,,,,,
1002,Emily Pilloton,918958,"poverty,education,design",,,,,,,,,
1003,Stefan Wolff,304892,"iraq,Africa,war,violence,politics,peace",,,,,,,,,
1004,Aaron Huey,1323118,"photography,poverty,TEDx,culture,history",,,,,,,,,
1005,Auret van Heerden,575768,"law,inequality,work,global issues,business,big problems",,,,,,,,,
1006,Eric Berlow,1135976,"simplicity,complexity,science,design,TED Fellows",,,,,,,,,
1007,Conrad Wolfram,1483378,"code,math,computers,education,technology",,,,,,,,,
1008,Denis Dutton,1972309,"Senses,evolution,brain,culture,design,society,beauty",,,,,,,,,
1009,Shimon Schocken,532605,"sports,education,motivation,TEDx,personal growth,leadership,children,storytelling",,,,,,,,,
1010,John Hardy,943702,"education,culture,green,design",,,,,,,,,
1011,Kristina Gjerde,346130,"mission blue,law,oceans,politics,science,global issues",,,,,,,,,
1012,Kim Gorgens,449274,"health,medicine,brain,TEDx,children",,,,,,,,,
1013,Zainab Salbi,498618,"iraq,drones,war,politics,women,global issues",,,,,,,,,
1014,Jason Fried,4808736,"TEDx,culture,work,design,creativity,technology,business",,,,,,,,,
1015,Dan Phillips,1082559,"TEDx,architecture,cities,green,design,creativity,technology",,,,,,,,,
1016,Birke Baehr,2132725,"health,TEDx,food,environment,sustainability,green,agriculture,business",,,,,,,,,
1017,William Ury,1782025,"TEDx,culture,war,politics,global issues",,,,,,,,,
1018,Marcel Dicke,1378801,"insects,health,food,environment,agriculture",,,,,,,,,
1019,Bart Weetjens,530058,"smell,Africa,TEDx,war,animals,technology",,,,,,,,,
1020,Arthur Potts Dawson,827994,"culture,food,cities,sustainability,entertainment,global issues,business",,,,,,,,,
1030,Halla Tomasdottir,582042,"feminism,politics,women,women in business,business",,,,,,,,,
1031,Tony Porter,2186331,"yesallwomen,feminism,men,culture,bullying,women,global issues",,,,,,,,,
1032,Kiran Bedi,822884,"crime,education,india,culture,politics,social change,global issues",,,,,,,,,
1033,Hanna Rosin,839827,"feminism,economics,education,culture,women,global issues",,,,,,,,,
1034,Diana Laufenberg,1825061,"education,TEDx,culture,children",,,,,,,,,
1036,Rufus Griscom + Alisa Volkman,2088572,"sex,web,education,culture,children,entertainment,communication",,,,,,,,,
1037,Rachel Botsman,1106883,"consumerism,TEDx,culture,cities,technology,business,collaboration,communication",,,,,,,,,
1038,Ken Robinson,1823344,"TED Brain Trust,money,disease,economics,education,medicine,psychology,history,children,business",,,,,,,,,
1039,Beverly + Dereck Joubert,843549,"photography,Africa,film,environment,animals,global issues",,,,,,,,,
1040,Sheryl Sandberg,7176818,"goal-setting,feminism,education,leadership,women,women in business,technology,business",,,,,,,,,
1041,Majora Carter,618945,"economics,TEDx,cities,green,business,community",,,,,,,,,
1042,Brené Brown,29931236,"depression,mental health,psychology,self,TEDx,culture,fear,social change,communication",,,,,,,,,
1043,Barry Schwartz,927293,"happiness,philosophy,self,culture,global issues",,,,,,,,,
1044,Arianna Huffington,4138414,"productivity,culture,entertainment,business",,,,,,,,,
1045,Lesley Hazleton,1813921,"TEDx,culture,religion,global issues,journalism",,,,,,,,,
1046,Charles Limb,1220262,"brain,TEDx,music,science,entertainment,creativity,technology",,,,,,,,,
1047,Deborah Rhodes,881794,"cancer,medicine,science,technology,business",,,,,,,,,
1048,Neil Pasricha,2815895,"love,happiness,books,psychology,TEDx,personal growth,life,writing",,,,,,,,,
1049,Jody Williams,645329,"nuclear weapons,activism,humanity,global issues,peace",,,,,,,,,
1050,Amber Case,1444417,"anthropology,cyborg,computers,culture,future,technology",,,,,,,,,
1051,Thomas Thwaites,1290151,"design,entertainment,technology",,,,,,,,,
1052,Elizabeth Lesser,1182996,"politics,global issues,communication",,,,,,,,,
1053,Ali Carr-Chellman,929925,"gaming,education,psychology,TEDx,bullying,violence,children,technology",,,,,,,,,
1054,Naomi Klein,892318,"economics,culture,activism,social change,science,business",,,,,,,,,
1055,Charity Tillemann-Dick,516030,"health care,medicine,music,science,technology",,,,,,,,,
1056,Van Jones,449323,"plastic,poverty,TEDx,inequality,science,green,global issues,business,communication",,,,,,,,,
1057,Anders Ynnerman,460205,"virtual reality,health,medicine,visualizations,TEDx,science,technology,data",,,,,,,,,
1058,Heather Knight,747066,"robots,AI,comedy,science,entertainment,humor,technology",,,,,,,,,
1059,Martin Jacques,2279834,"Asia,china,economics,culture,global issues,business",,,,,,,,,
1060,Thomas Goetz,489636,"health,medicine,science,design,technology,business",,,,,,,,,
1061,Liza Donnelly,1285573,"feminism,culture,media,comedy,women,humor,art,peace",,,,,,,,,
1062,Bruce Feiler,459704,"cancer,culture,storytelling,community",,,,,,,,,
1064,Kate Orff,312482,"biology,architecture,cities,design",,,,,,,,,
1065,Dale Dougherty,715187,"drones,hack,computers,media,innovation,curiosity,cities,design,technology,collaboration",,,,,,,,,
1066,Johanna Blakley,1249166,"advertising,social media,culture,media,entertainment",,,,,,,,,
1067,Christopher McDougall,2390532,"sports,health,TEDx,science,entertainment,journalism",,,,,,,,,
1068,Suheir Hammad,585228,"poetry,culture,war,women,performance,global issues",,,,,,,,,
1069,Nigel Marsh,3731811,"work-life balance,motivation,TEDx,culture,work,life,business",,,,,,,,,
1070,Cynthia Breazeal,1054646,"robots,body language,AI,design,entertainment,technology,business,communication",,,,,,,,,
1071,Hawa Abdi + Deqo Mohamed,343143,"health,medicine,politics,science,women,global issues,community",,,,,,,,,
1072,Michael Pawlyn,1716104,"biomimicry,science and art,architecture,sustainability,design",,,,,,,,,
1073,Geert Chatrou,1730075,"live music,TEDx,music,entertainment,performance",,,,,,,,,
1074,Krista Tippett,678771,"charter for compassion,faith,compassion,religion,science",,,,,,,,,
1075,Patricia Kuhl,2437304,"brain,TEDx,language,science,children,technology",,,,,,,,,
1076,Jacqueline Novogratz,840172,"economics,investment,culture,women in business,global issues",,,,,,,,,
1077,Lisa Gansky,704713,"technology,business",,,,,,,,,
1078,Madeleine Albright,720291,"Foreign Policy,iraq,business",,,,,,,,,
1079,Noreena Hertz,869492,"economics,culture,choice,business",,,,,,,,,
1080,Iain Hutchison,617138,"Surgery,body language,medical research,science and art,culture,science,design,community",,,,,,,,,
1081,Elizabeth Lindsey,433741,"anthropology,storytelling",,,,,,,,,
1082,Danny Hillis,415380,"TED Brain Trust,cancer,genetics,medical research",,,,,,,,,
1083,Ahn Trio,736692,"live music,music,entertainment,performance",,,,,,,,,
1084,Wadah Khanfar,914790,"iraq,protests,media,politics,global issues,technology,Egypt,Middle East",,,,,,,,,
1085,JR,2592305,"TED Prize,photography,activism,art,community",,,,,,,,,
1086,Wael Ghonim,901859,"protests,politics,social change,democracy,global issues,Egypt",,,,,,,,,
1087,Bill Gates,1859345,"TED Brain Trust,youth,money,education,aging,politics",,,,,,,,,
1088,Anthony Atala,2761848,"prosthetics,Surgery,invention,health care,medical research",,,,,,,,,
1089,Courtney Martin,937206,"feminism,culture,history,women,identity,writing",,,,,,,,,
1090,Salman Khan,4536323,"online video,education,culture,teaching,global issues",,,,,,,,,
1091,Eli Pariser,3963853,"culture,politics,global issues,technology,journalism",,,,,,,,,
1092,Deb Roy,2444162,"time,brain,language,children",,,,,,,,,
1093,Rob Harmon,592155,"water,TEDx,innovation,environment,sustainability,nature,global issues,business",,,,,,,,,
1094,David Brooks,1118833,"brain,motivation,culture,society",,,,,,,,,
1095,Janna Levin,1098310,"dark matter,universe,science",,,,,,,,,
1096,Mark Bezos,2108569,"compassion,culture,community",,,,,,,,,
1098,Rogier van der Heide,558643,"TEDx,architecture,design",,,,,,,,,
1100,Sarah Kay,10254925,"poetry,entertainment,performance,storytelling",,,,,,,,,
1101,Hans Rosling,2359215,"economics,culture,women,data",,,,,,,,,
1102,Isabel Behncke,688298,"play,culture,science,animals,TED Fellows",,,,,,,,,
1103,Paul Root Wolpe,1192027,"deextinction,philosophy,genetics,biology,biomechanics,TEDx,science,future,bioethics",,,,,,,,,
1104,Eythor Bender,1366105,"exoskeleton,disability,science,design,technology",,,,,,,,,
1105,Claron McFadden,394155,"live music,TEDx,music,entertainment,performance,creativity",,,,,,,,,
1106,Patricia Ryan,1587982,"TEDx,culture,language,global issues",,,,,,,,,
1107,Ralph Langner,1332811,"Iran,nuclear energy,computers,war,politics,science,technology,government",,,,,,,,,
1108,Handspring Puppet Co.,1510048,"theater,animals,design,entertainment,performance",,,,,,,,,
1109,Sebastian Thrun,2404422,"robots,transportation,science,technology,business",,,,,,,,,
1110,Eric Whitacre,3392675,"conducting,crowdsourcing,online video,virtual reality,music,entertainment,collaboration",,,,,,,,,
1111,AnnMarie Thomas,843155,"toy,education,science,technology",,,,,,,,,
1112,Stanley McChrystal,2383099,"iraq,culture,war,leadership,global issues,peace",,,,,,,,,
1113,Chade-Meng Tan,881315,"charter for compassion,culture,business",,,,,,,,,
1114,Morgan Spurlock,2024129,"consumerism,Brand,film,comedy,humor,business",,,,,,,,,
1115,Mick Ebeling,938704,"open-source,invention,disease,design,creativity,technology",,,,,,,,,
1116,Caroline Casey,2004769,"culture,activism,business",,,,,,,,,
1117,Jackson Browne,650446,"TED Prize,oceans,TEDx,music,entertainment",,,,,,,,,
1118,David Christian,7206320,"cosmos,universe,big bang,education,visualizations,history,humanity,Internet",,,,,,,,,
1119,Dave Meslin,1596370,"education,TEDx,culture,politics,global issues,collaboration,community",,,,,,,,,
1120,Sarah Kaminsky,586468,"TEDx,culture,war,history,entertainment,storytelling,global issues",,,,,,,,,
1121,Roger Ebert,1091771,"culture,speech,community",,,,,,,,,
1122,Marcin Jakubowski,1462932,"open-source,culture,technology,TED Fellows",,,,,,,,,
1124,Susan Lim,616556,"technology,business",,,,,,,,,
1125,Sam Richards,1511359,"iraq,sociology,empathy,TEDx,culture,war,politics,global issues,society",,,,,,,,,
1126,Kathryn Schulz,3904315,"failure,culture",,,,,,,,,
1127,John Hunter,1372068,"gaming,education,war,politics,design,global issues,government,peace",,,,,,,,,
1129,Anil Ananthaswamy,534548,"universe,exploration,science,technology,journalism",,,,,,,,,
1130,Ric Elias,6526467,"transportation,storytelling,business",,,,,,,,,
1131,Harvey Fineberg,1015187,"philosophy,medicine,evolution,science,bioethics,technology",,,,,,,,,
1132,Bruce Schneier,729894,"terrorism,TEDx,culture,security,global issues,technology",,,,,,,,,
1133,Angela Belcher,854936,"virus,alternative energy,genetics,DNA,evolution,biology,TEDx,nature",,,,,,,,,
1134,Mike Matas,1498686,"software,demo,design,entertainment,technology",,,,,,,,,
1135,Arvind Gupta,1347234,"toy,play,education,science,design,technology",,,,,,,,,
1136,Aicha el-Wafi + Phyllis Rodriguez,808763,"terrorism,culture,politics,parenting,global issues",,,,,,,,,
